Parámetro,Valor
Ra (Promedio Aritmético),2.694 µm
Rq (RMS),4.805 µm
Rp (Pico Máximo),18.772 µm
Rv (Valle Máximo),-16.916 µm
Rt (Altura Total del Perfil),35.688 µm
Rz (ISO 4287:1997),12.700 µm
Rsk (Asimetría),0.258
Rku (Curtosis),6.477
RSm (Anchura Media de Elementos),134.713 µm
Rdq (Pendiente RMS),55.235 µm/mm
Rda (Pendiente Media Absoluta),32.589 µm/mm
Pc (Conteo de Picos),22.00 1/mm
Rpk (Altura de picos que se desgastan),3.764 µm
Rk (Profundidad del núcleo funcional),0.662 µm
Rvk (Profundidad de valles para lubricante),2.558 µm
Mr1 (%),27.17
Mr2 (%),56.70
