Parámetro,Valor
Ra (Promedio Aritmético),4.025 µm
Rq (RMS),7.259 µm
Rp (Pico Máximo),24.748 µm
Rv (Valle Máximo),-16.448 µm
Rt (Altura Total del Perfil),41.196 µm
Rz (ISO 4287:1997),18.008 µm
Rsk (Asimetría),0.298
Rku (Curtosis),5.052
RSm (Anchura Media de Elementos),118.519 µm
Rdq (Pendiente RMS),43.130 µm/mm
Rda (Pendiente Media Absoluta),22.224 µm/mm
Pc (Conteo de Picos),70.80 1/mm
Rpk (Altura de picos que se desgastan),4.453 µm
Rk (Profundidad del núcleo funcional),0.350 µm
Rvk (Profundidad de valles para lubricante),6.359 µm
Mr1 (%),40.12
Mr2 (%),69.66
